"region","2018"
"01 Stockholm county",2344124
"03 Uppsala county",376354
"04 Södermanland county",294695
"05 Östergötland county",461583
"06 Jönköping county",360825
"07 Kronoberg county",199886
"08 Kalmar county",244670
"09 Gotland county",59249
"10 Blekinge county",159684
"12 Skåne county",1362164
"13 Halland county",329352
"14 Västra Götaland county",1709814
"17 Värmland county",281482
"18 Örebro county",302252
"19 Västmanland county",273929
"20 Dalarna county",287191
"21 Gävleborg county",286547
"22 Västernorrland county",245453
"23 Jämtland county",130280
"24 Västerbotten county",270154
"25 Norrbotten county",250497
